episode;steps;reward;average
615;354;303.38558820069665;190.92665357706855
616;1000;-214.17516188870638;185.96291945343407
617;200;331.3679129509992;186.4130152355091
618;330;318.3611509410987;187.18587746520362
619;573;265.0300746196315;186.92972149049746
620;696;163.02806474083513;190.0843737625638
621;530;-266.17238996357537;188.949220411048
622;61;-224.9768543129058;188.007243427377
623;79;-222.96320211791019;187.31800519956892
624;907;84.42018313842556;184.68905089918542
625;241;-102.1182465356451;184.8104409597351
626;90;-280.5470008907367;183.39027109908292
627;350;-123.89298752268913;183.66774158579804
628;1000;-193.03668675609794;179.76278328422882
629;545;271.37022220956345;182.11321180643193
630;233;-83.44662694870163;182.42444294570387
631;690;163.74897660916366;182.11896500087042
632;245;261.42733527983546;181.53834619083582
633;211;-101.69312909423485;177.91471512332154
634;378;269.6320963981172;177.94994322572018
635;253;312.1469676974458;178.34009485697473
636;459;253.62792603075627;178.29390589366784
637;464;193.5879732499753;182.0017117088901
638;213;-145.39369121199974;177.94799589324455
639;254;340.7316724469716;178.39368010717618
640;423;235.63204233284023;177.64032620627972
641;152;-130.90606125224588;173.616507004653
642;201;-92.03790073437482;169.95957936113757
643;313;306.01881611128886;173.64954555161216
644;262;291.53493228736784;177.3922329917699
645;151;-133.86097287262322;174.21205245764392
646;224;311.0336880308107;179.25955353991304
647;277;281.8278042102753;180.93519207202354
648;351;262.7517960189644;180.76350300063012
649;277;330.60432408141037;181.01607930047408
